"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response"
"Per","Denmark","Group of friends","9.2","Superb","29 April 2014","","","",
"Pa","Netherlands","Family","8.8","Fabulous","29 April 2014","","","",
"Frank","Germany","Solo traveller","7.5","Good","28 April 2014","","","",
"Hasan","Sweden","Solo traveller","5","Passable","23 April 2014","","","",
"Johnny","Denmark","Family","6.7","Pleasant","23 April 2014","","","",
"Κορίνα","Greece","Couple","5.8","Okay","22 April 2014","","","",
"Romney","China","Solo traveller","10","Exceptional","16 April 2014","","","",
"Eva","Sweden","Solo traveller","7.9","Good","12 April 2014","","","",
"Alberto","Italy","Couple","10","Exceptional","11 April 2014","","","",
"Wolfgang","Germany","Solo traveller","9.6","Exceptional","11 April 2014","","","",
"Torsten","Germany","Solo traveller","8.8","Fabulous","1 April 2014","","","",
"Volker","Germany","Couple","7.5","Good","29 March 2014","","","",
"Marcin","Poland","Family","7.9","Good","28 March 2014","","","",
"Monika","Germany","Solo traveller","6.7","Pleasant","26 March 2014","","","",
"Shijie","Germany","Solo traveller","10","Exceptional","26 March 2014","","","",
"Joanna","Poland","Family","5.8","Okay","25 March 2014","","","",
"Dr.klaus","Germany","Couple","8.3","Very good","24 March 2014","","","",
"Sylvain","France","Solo traveller","6.7","Pleasant","21 March 2014","","","",
"Anabel","Spain","Family","8.8","Fabulous","19 March 2014","","","",
"Ruslan","Russia","Couple","10","Exceptional","17 March 2014","","","",
"Raul","Russia","Couple","10","Exceptional","16 March 2014","","","",
"Manuela","Italy","Couple","4.2","Disappointing","15 March 2014","","","",
"Pavel","Russia","Solo traveller","8.3","Very good","15 March 2014","","","",
"Domenico","Italy","Couple","5","Passable","13 March 2014","","","",
"Roman","Ukraine","Couple","7.9","Good","12 March 2014","","","",
"Barbara","Germany","Solo traveller","7.9","Good","10 March 2014","","","",
"Stelios","Greece","Solo traveller","8.3","Very good","9 March 2014","","","",
"Christiane","France","Solo traveller","9.6","Exceptional","7 March 2014","","","",
"Stefano","Italy","Solo traveller","9.2","Superb","6 March 2014","","","",
"Marcelo","Ecuador","Solo traveller","7.1","Good","6 March 2014","","","",
"Alaa","Germany","Couple","8.8","Fabulous","5 March 2014","","","",
"Kersten","Germany","Couple","8.8","Fabulous","4 March 2014","","","",
"Olga","Russia","Solo traveller","9.6","Exceptional","28 February 2014","","","",
"Yuichiro","Japan","Group of friends","8.3","Very good","27 February 2014","","","",
"Uta","Germany","Group of friends","9.6","Exceptional","27 February 2014","","","",
"Márcia","Brazil","Family","8.8","Fabulous","26 February 2014","","","",
"Wolfgang","Germany","Solo traveller","7.5","Good","25 February 2014","","","",
"Augusto","Italy","Couple","7.9","Good","25 February 2014","","","",
"Michael","Austria","Solo traveller","9.6","Exceptional","25 February 2014","","","",
"Oğuzhan","Turkey","Solo traveller","8.8","Fabulous","25 February 2014","","","",
"Oksana","Russia","Group of friends","10","Exceptional","19 February 2014","","","",
"Anna","Russia","Solo traveller","8.8","Fabulous","18 February 2014","","","",
"Regina","Germany","Solo traveller","8.8","Fabulous","15 February 2014","","","",
"Susanne","Austria","Solo traveller","9.2","Superb","12 February 2014","","","",
"Kai","Germany","Solo traveller","7.1","Good","4 February 2014","","","",
"Karsten","Germany","Solo traveller","8.8","Fabulous","3 February 2014","","","",
"Leif","Sweden","Couple","8.3","Very good","28 January 2014","","","",
"Lucyne","Germany","Solo traveller","8.8","Fabulous","25 January 2014","","","",
"Jiaming","France","Solo traveller","7.5","Good","21 January 2014","","","",
"Evgeniya","Russia","Group of friends","7.1","Good","13 January 2014","","","",
"Henry","Netherlands","Couple","7.5","Good","10 January 2014","","","",
"Walter","Germany","Solo traveller","8.3","Very good","9 January 2014","","","",
"Asen","Germany","Couple","9.2","Superb","7 January 2014","","","",
"Sofia","Greece","Couple","7.1","Good","5 January 2014","","","",
"Mirela","Germany","Group of friends","7.1","Good","20 December 2013","","","",
"Maurizio","Italy","Solo traveller","4.2","Disappointing","17 December 2013","","","",
"Pilar","Spain","Couple","7.5","Good","16 December 2013","","","",
"Marie","France","Solo traveller","7.5","Good","6 December 2013","","","",
"Michael","Germany","Couple","7.5","Good","4 December 2013","","","",
"Sabine","Switzerland","Solo traveller","7.9","Good","3 December 2013","","","",
"Frédéric","France","Group of friends","8.3","Very good","24 November 2013","","","",
"Sven","Germany","Solo traveller","9.2","Superb","17 November 2013","","","",
"Romina","Germany","Solo traveller","6.7","Pleasant","8 November 2013","","","",
"Jennifer","Germany","Group of friends","7.5","Good","3 November 2013","","","",
"Michail","Greece","Solo traveller","7.9","Good","24 October 2013","","","",
"Zelong","Poland","Solo traveller","8.3","Very good","21 October 2013","","","",
"Yue","China","Couple","10","Exceptional","18 October 2013","","","",
"Maria","Germany","Couple","5","Passable","18 October 2013","","","",
"Jaka","Slovenia","Solo traveller","7.9","Good","14 October 2013","","","",
"Enrique","Austria","Solo traveller","5.8","Okay","11 October 2013","","","",
"Juliu","Germany","Family","9.6","Exceptional","8 October 2013","","","",
"Anonymous","Israel","Solo traveller","5.4","Passable","5 December 2013","מיקום נחמד במרחק הליכה לקא דה ווה, למרכזי קניות, גן חיות, ולרחוב שהיה לפני האיחוד הדיזנגוף של ברלין. היום כול מרכזי הבילויים עברו הרחק משם.. המתקן [המלון] שקט ונקי מאוד.","המקום בשום אופן לא שווה שלושה כוכבים, זה חוצפה להציג מלון זה יותר משני כוכבים, פשוט הטעיה !  המקום חסר נשמה ונראה כמו מגורי סטודנטים אבל לא מלון. החדר ששהיתי בו קטן ומרוהט בחוסר טעם משווע, הכניסה והמסדרונות ממש מדכאים.","",
"Anonymous","Germany","Solo traveller","4.6","Disappointing","9 October 2014","","nachts konnte man nicht schlafen weil es viel zu laut im Haus war .Zimmer genau unter Studentenwohnheim.Zimmer war etwas größer wie ein Mäuseloch .für Geschir sollte man extra bezahlen,Wlan gleich null Zimmer war überteuert","",
"Anonymous","Germany","Solo traveller","8.3","Very good","7 October 2014","zentrale Lage und Nähe zum Kudamm","","",
"Anonymous","Germany","Couple","5.4","Passable","2 October 2014","Ich hatte das Hotel aufgrund seiner Lage zum Tiergarten gebucht. Das war wirklich klasse und man kann vom Hotel viele Orte fußläufig erreichen.","Die gebuchten zwei Betten standen ehebettmäßig in einem recht kleinen Zimmer -also war das Anliegen eines Zweibettzimmers verfehlt. Insgesamt war das Zimmer verhältnismäßig klein und daher zu voll eingerichtet, was die Bewegung im Raum erschwerte bzw. anstrengend machte. Das Bad war eher ungemütlich aufgrund dunkler Steinfliesen und riechendem Duschabfluss. Das Zimmer befand sich außerhalb des eigentlichen Hotelkomplexes und wird auch als Appartment (zur Selbstverpflegung) vermietet. Evtl. sind andere Zimmerkategorien empfehlenswerter und geeigneter für einen Berlin- Aufenthalt. Aufgrund der empfundenen Mängel stimmte für uns das Preis-Leistungs-Verhältnis leider nicht.","",
"Anonymous","Germany","Couple","5.4","Passable","30 September 2014","zentrale Lage","Frühstücksbüffet um 9.00 Uhr total leer (kein Kaffee, keine Wurst, kein Käse) & es dauerte ca. 10 min bis alles aufgefüllt war; Zimmerservice mangelhaft (Fussboden nicht sauber, unvollständiger Handtuchwechsel)","",
"Anonymous","Austria","Solo traveller","4.2","Disappointing","29 September 2014","Lage ist ganz OK","Frühstück (kaum Auswahl), Zimmer war schmutzig und abgewohnt (ohne Pantoffel würde ich da keinen Schritt machen, WLAN hatte eine miese Übertragungsgeschwindigkeit > aufgrund der geringen Auswahl durch eine Messe sowie den Berliner Marathon viel die Wahl auf das Hotel Lützow; summa sumarum: NIE WIEDER","",
"Anonymous","Germany","Solo traveller","5.4","Passable","23 September 2014","Lage; freundlicher Hotel-Empfang","Kücheneinrichtung ohne Ausstattung (keine Handtücher, keine Kaffeemaschine, kein Geschirr, gar nichts!); extrem hellhörig; Jugendherberge-Atmosphäre; Kälte: ich habe mich sehr unwohl gefühlt!","",
"Anonymous","Germany","Solo traveller","5.5","Passable","11 September 2014","Lage","Einfaches Hotel - Bett, Schreibtisch und Schrank - Zimmersafe keine Funktion!","",
"Anonymous","Italy","Couple","7.9","Good","3 September 2014","Sebbene sia un 3 stelle le camere e i bagni erano allestiti come un 4 stelle.
Bagno pulito, doccia spaziosa, letto comodo ed accogliente. Esperienza positiva sicuramente, tralasciando la visita dell'insetto.","La stanza, sempre esposta al sole, era un po' troppo calda e mancava di lampadario. Le tende mi davano l'impressione di non essere state lavate da tempo, stessa cosa il finestrone.
L'assenza delle zanzariere ha fatto sì che trovassi un grosso insetto sul soffitto durante la notte, lascio immaginare il dramma.","",
"Anonymous","Italy","Couple","6.7","Pleasant","2 September 2014","L' hotel si trova in una via residenziale tranquilla, in una posizione ben collegata con le principali attrazioni della città. Le camere carine, spaziose e confortevoli sono dotate di una piccola cucina che si può utilizzare per preparare i pasti, comprensiva di bollitore, set per the e caffè, minifrigo, microonde e piastra a due fuochi. La ricezione del wi-fi è ottima; il bagno è spazioso e dotato di una grande doccia. Il personale è cordiale, parla inglese e la reception è aperta 24 h. Carina l'idea di offrire una bottiglia d'acqua e delle caramelle all'arrivo.","La camera veniva pulita tutti i giorni, ma abbiamo notato che la polvere veniva fatta sommariamente. 
Il noleggio degli utensili da cucina a 5 euro/giorno o 20 a settimana potrebbe essere un servizio incluso nel costo della camera e non una maggiorazione.
Non c'è nessuna aerazione in bagno.","",
"Anonymous","Germany","Couple","9.2","Superb","28 August 2014","wegen des Sonderrabattes war das ein gutes Preis-Leistungsverhältnis","keine kostenlose Parkmöglichkeiten
Frühstück nicht inklusiv","",
"Anonymous","Germany","Couple","8.3","Very good","19 August 2014","Sauber, alles was man braucht...","Wenig Services, mini Rezeption","",
"Anonymous","Russia","Couple","6.3","Pleasant","19 August 2014","Наличие кухни.","Не возможность пользоваться лестницей электронный ключ не работал. Не возможность пользоваться внутренним двориком. Нет ключв","",
"Anonymous","Germany","Couple","5.4","Passable","19 August 2014","Nachdem wir auf das nicht gereinigte Bad hingewiesen haben, wurde dieses picko bello gereinigt!","Bad wurde vor unserer Anreise nicht gereinigt!
Die Größe der Doppelbetten sollte angegeben werden: zu zweit auf 1,40x2m ist eindeutig zu knapp, wenn einer 2m groß ist!","",
"Anonymous","Brazil","Couple","5.4","Passable","9 August 2014"," Equipe super atenciosa e solícita.
- Boa Localização, próximo ao transporte público e aos pontos turísticos."," Os quartos são muito abafados - o que faz com que, no verão, seja quase insuportável dormir neles. O Hotel poderia disponibilizar ventiladores.
- Durante a estadia não notávamos a limpeza do quarto sendo feita.
- O box do banheiro estava entupido, a água empoçava durante o banho.","",
"Anonymous","Switzerland","Couple","9.6","Exceptional","7 August 2014","Unser Zimmer war sauber und gemütlich, die Angestellten stets freundlich. Vom Hotel aus waren Bushaltestellen sowie U-Bahnstation bequem zu erreichen. Es gab keinerlei Lärmbelästigung und dafür gut funktionierendes Internet.","Um alles perfekt zu machen, fehlte eine Klimaanlage (oder eine andere Möglichkeit), um die Zimmertemperatur möglichst schnell zu senken, da sich das Zimmer tagsüber stark aufheizte.","",
"Anonymous","Belgium","Couple","7.1","Good","1 August 2014","Locatie
Ruimte in de kamer
Propere badkamer
Vriendelijk en hulpzaam personeel","Slecht matras en bed
WiFi is een hotspot waar je telkens op moet aanmelden en valt vaak uit
Extra 20 euro betalen voor wat keukengerei (pan, pot, bestek en borden)","",
"Anonymous","Netherlands","Couple","7.5","Good","28 July 2014","kamer is praktisch en schoon","geen ventilator of airco","",
"Anonymous","Spain","Group of friends","4.6","Disappointing","27 July 2014","El personal, correcto.
La ubicación y la tranquilidad de la calle.","La habitación pequeña, y en consecuencia la cama también, para ser una habitación doble.
Era una cama de medidas y uso individual con arreglos para que colara como cama de matrimonio....y eso que habíamos pedido dos camas...uff. total 1,20 de ancho.
La falta de cortinas que quiten la luz que entra desde las 5 de la mañana....es como si estuvieras en un escenario...."los cañones a mi persona". 
Durante la semana no han cambiado las sábanas. La moqueta no vió pasar el aspirador ni de lejos, el lavabo del baño ha sido el eterno olvidado por Mister Propper y el personal de limpieza.....el último día no repusieron ni el café, ni el azúcar....
El wifi, un auténtico coñazo.
Por último si quieres acceder a las habitaciones, lo tienes que hacer siempre en ascensor. Las escaleras son de emergencia....así que como solo hay uno para todo y todos, tienes que echarle paciencia.","",
"Anonymous","U.S.A.","Solo traveller","5.8","Okay","13 July 2014","Zimmer war ausreichend gross, ruhig und hatte Küchenzeile. Zum Empfang gab es eine Flasche Sprudel.","Putzen beschränkte sich bei 9 Nächten Aufenthalt auf das Waschbecken und täglichen Wechsel der Plastiktüte im Mülleimer. Sprudel im Zimmer wurde nicht ersetzt und Frühstück war keine gute Qualität.","",
"Anonymous","Germany","Couple","8.3","Very good","3 July 2014","Haben Sonderwünsche berücksichtigt.","Kompliziertes WLAN, musste immer wieder einloggen.","",
"Anonymous","Italy","Group of friends","8.8","Fabulous","30 June 2014","Posizione ottima, centrale, in zona ricca di locali - Allo stesso tempo l'albergo è in una via tranquilla e silenziosa.","","",
"Anonymous","Germany","Couple","7.9","Good","29 June 2014","Das Personal war sehr freundlich und hilfsbereit. Frühstück gut. Das Zimmer war zwar klein aber es war alles an seinem Platz. Sehr ruhig gelegen.","Die Matratze war nicht so optimal für 2 Personen.","",
"Anonymous","Brazil","Solo traveller","8.8","Fabulous","24 June 2014","Cama e localização","Iluminação do quarto insuficiente","",
"Anonymous","France","Couple","6.7","Pleasant","17 June 2014","Proche transports en commun (bus 200). A 10 min du metro.","Chambre et SdB petites. Chaleur +++ dans la chambre (en juin), pas de climatisation. Rapport qualité/prix moyen.","",
"Anonymous","Netherlands","Group of friends","7.5","Good","13 June 2014","Koelkast op kamer en vrij gebruik van terras. De Douche was prima!","Bed is twijfelaar! Als je dat niet gewend bent is dat smal.","",
"Anonymous","Netherlands","Couple","7.5","Good","10 June 2014","Ligging van het hotel ,prima ontbijt, schone kamers","","",
"Anonymous","Netherlands","Solo traveller","6.3","Pleasant","5 June 2014","Goede ligging tov OV. 24h geopend. Vriendelijk personeel.","Aangegeven om de handdoeken te verschonen, maar dit werd niet gedaan. De natte gebruikte handdoeken hingen bij terugkomst weer op de verwarming. Op zich geen ramp maar wel vervelend dat je geen schone handdoeken meer hebt, dan kun je net zo goed een hostel boeken. Ook een paar keer handdoeken ontvangen waar de bruine/zwarte vlekken en haren nog op zaten. Niet echt fris. WiFi is niet heel stabiel.","",
"Anonymous","Spain","Solo traveller","7.5","Good","2 June 2014","la recepcionista española es muy agradable y eficiente.","la señal de wifi muy mala","",
"Anonymous","Austria","Couple","7.9","Good","1 June 2014","freundliches Personal","WIFI leider sehr schwach","",
"Anonymous","Czech Republic","Couple","7.9","Good","14 May 2014","Líbilo se nám, že je hotel blízko ZOO. A také jsou v jeho blízkosti obchodní centra, takže to není daleko na nákup, nejbližší supermarket je asi 150m od hotelu. Na rohu ulice je také výborná restaurace s argentinskými steaky, kterou bychom také určitě doporučili. K samotnému hotelu nemáme výhrady, je zde kuchyňka do které si můžete za 5 euro/den půjčit  nádobí, měli jsme i pokoj se psacím stolem a trezor na úschovu věcí. Ve spodní části hotelu je café, kde si můžete dát čaj zdarma, s tím bohužel zkušenost nemáme, byli jsme v Berlíně pouze na 3 dny.","Jediné co nám vadilo je, že je skoro celý Berlín v rekonstrukci, takže v bylo slyšet vrtání a bouchání až do pokoje, ale je to v centru města, s nějakým hlukem se počítat musí.","",
"Anonymous","Germany","Solo traveller","8.3","Very good","12 May 2014","Problemlose An- und Abreise, großes gut ausgestattetes Zimmer","Im Kühlschrank befand sich Schimmel, wurde nicht sauber gereinigt.","",
"Anonymous","Spain","Couple","7.9","Good","10 May 2014","Hotel con buena relación calidad precio. Tiene una parada de metro a 7 minutos con buena combinacion y otra (la del zoo) a 12 minutos, donde llega el Airport Express. Habitaciones limpias con cocina, microondas y neverita. Personal amable. Hay una recepcionista española muy amable, que te ayuda con cualquier duda.","","",
"Anonymous","Japan","Solo traveller","5.8","Okay","5 May 2014","メイン道路から一本入った住宅街なので静か。キッチン付き。","wifiの電波が弱いのと、速度が遅いので全然使えなかった。駅から15分くらい離れているので短期旅行者- には向かない。","",
"Anonymous","Netherlands","Solo traveller","7.5","Good","4 May 2014","Nette kamer met waterkoker en magnetron. Rustige straat.","Internetverbinding via wifi ging moeizaam.
Andere wijken hadden qua sfeer meer mijn voorkeur.","",
"Anonymous","Italy","Couple","10","Exceptional","29 April 2014","Camere veramente carine, tutti i comfort per una vacanza anche abbastanza lunga (una settimana)","","",
"Anonymous","Germany","Family","8.8","Fabulous","27 April 2014","Ausgesprochen freundliches und zuvorkommendes Personal; zentrale Lage zwischen City West und City Ost am Tiergarten; geräumige Zimmer; reichhaltiges Frühstücksbuffet; Rezeption 24 Std. besetzt; absolut ruhig; gutes Preis-Leistungs-Verhältnis; Kochnische und Kühlschrank im Zimmer","U-Bahn relativ weit weg (800 m), aber Bus 200 nahe am Hotel; WiFi-Verbindung war immer wieder neu einzurichten","",
"Anonymous","Germany","Couple","7.5","Good","26 April 2014","A 10 minutos de la parada de metro. Zona tranquila.","Solo teníamos una cama de 1.30m de ancho para los dos... realmente estrecho...","",
"Anonymous","Netherlands","Couple","7.9","Good","24 April 2014","Goede prijs-kwaliteit verhouding
Fijne pantry op de kamer
Vriendelijk personeel","Loopafstand naar Kurfürstendamm","",
"Anonymous","Brazil","Couple","8.8","Fabulous","24 April 2014","Td mt bom","","",
"Anonymous","Austria","Group of friends","5.4","Passable","22 April 2014","Die Zentrale Lage des Hotels und die gute Anbindung an die Öffentlichen Verkehrsmittel.","Die Betten waren sehr stark durch gelegen und die Zimmer "Typ Classic"sind extrem klein. Für fast € 70,- erwarte ich mir persönlich mehr. Da ich sehr viel reise. Das Frühstücksbuffet war überdurchschnittlich teuer.","",
"Anonymous","Germany","Group of friends","7.1","Good","22 April 2014","","Das Doppelbett war viel zu klein!
120x200 für 2 Leute die etwas fülltiger sind, wirklich sehr eng","",
"Anonymous","Netherlands","Solo traveller","9.6","Exceptional","18 April 2014","prima ligging; rustige, goed ingerichte kamer; behulpzaam personeel; prettige sfeer; voortreffelijke prijs/kwaliteit verhouding","helemaal niets viel me tegen","",
"Anonymous","Germany","Solo traveller","8.3","Very good","15 April 2014","Zentral, dennoch ruhig gelegen.","","",
"Anonymous","Belgium","Group of friends","8.8","Fabulous","14 April 2014","Aangename ontvangst; zeer uitgebreid ontbijt; comfortabele kamers; bushalte vlakbij.","Informeer u goed over het bussysteem; de persoon aan de receptie was hierover niet correct. Groepsticketten voor 4-5 personen zijn verkrijgbaar op de bus voor 16,5 €; we betaalden 28 € aan de receptie.","",
"Anonymous","Germany","Couple","7.5","Good","3 April 2014","Die Nähe zum KaDeWe, Europacenter, Zoo, Aquarium. Ruhige Lage.
Gute Busverbindung zum Brandenburger Tor Linie 100 und zum Potzdamer Platz Linie 200. Das Parkhaus mit direktem Zugang zum Hotel. Freundliches Personal.","abends kein Barbetrieb im Hotel.","",
"Anonymous","Germany","Solo traveller","10","Exceptional","23 March 2014","Sehr schöne ruhige Lage und doch zentral !!","","",
"Anonymous","Germany","Solo traveller","9.2","Superb","14 March 2014","Das freundliche Personal, Ruhe trotz relativ zentraler Lage, Sauberkeit, das Preis-Leistungsverhältnis.","Das Frühstück ist nicht inklusiv im Preis; die c.10e extra für das Frühstück finde ich sehr viel, da  das Angebot von der Qualität nicht berauschend war: das Brot trocken, Käse- und Wurstsortiment sehr klein. 
Das kostenlose Wlan hat zumindest bei mir nicht funktioniert.","",
"Anonymous","Russia","Couple","7.5","Good","12 March 2014","Месторасположение - это самый центр Берлина. Тихая улица, нас утром будил крик большой колонии воробьев. Наличие мини-кухни в номере: холодильник, СВ-печь, чайник,  плита с двумя комфорками и мойка.","Мы прилетели рано утром в 7.10, но заселили нас ровно в 15.00, как положено. Восемь часов на ногах после перелета - это тяжело. Вся посуда для кухни, кроме двух чайных чашек,  выдается за дополнительную плату. Завтрак в Берлине не может стоить 11.50 евро на одного человека - там все намного дешевле","",
"Anonymous","Germany","Couple","7.1","Good","2 March 2014","Ruhige Lage, Kitchenette, gutes Preis-Leistungsverhältnis","","",
"Anonymous","Germany","Solo traveller","7.1","Good","1 March 2014","Preis und Lage super. Kostenlose Parkplätze von 21-9 Uhr und direkt vorm Hotel. Nettes Personal, Zimmer sauber.","Der alte Teppichboden und Wasserflut nach dem Duschen nicht so toll.","",
"Anonymous","Russia","Group of friends","9.6","Exceptional","24 February 2014","Ездили в середине февраля, погода в Берлине - настоящая весна, +10 на улице, сухо и большую часть времени было солнечно, хотя местные говорили, что это нам повезло. У отеля отличное расположение, 15 минут пешком или 1 остановка до шоппинговой улицы Кудам, практически все достопримечательности без пересадок, от метро спокойная тихая улица до отеля. Рядом отделение полиции, 2 супермаркета, напротив метро - торговый центр KaDeWe. Персонал доброжелательный, улыбчивый, помог со всеми возникшими вопросами. Сам номер небольшой, но есть все необходимое, чисто и удобно. Большое зеркало в ванне, хороший напор воды в душе. В комнате зеркало в полный рост, что для девушек очень удобно. Около ресепшена висят купоны на скидку в различные достопримечательности и рестораны (правда в некоторые по Берлин Велком Кард было выгоднее). Завтраки не брали, покупали еду в супермаркете или заходили по пути к метро в кондитерскую (очень вкусная выпечка!), рядом кстати еще пиццерия, заказывали один раз, понравилось. По соотношению цены-качества - однозначно советую.","В целом понравилось все, если придираться к мелочам - не хватало разетки около кровати, они были только у телевизора и у зеркала. За все время пребывания так и не смогла подключиться к WiFi, хотя у подруги с планшета получалось, но постоянно выкидывало и приходилось заново логиниться. В Берлине с бесплатным подключением в целом проблематично. Лестницы закрыты, если едите большой компанией и поселят на разных этажах - придется дожидаться лифта (мы ни разу не ждали больше минуты).","",
"Anonymous","Poland","Couple","7.9","Good","22 February 2014","dobre położenie, blisko zoo i łatwe połączenie z centrum, czysto i spokojnie","drogi parking ~15 euro/24h","",
"Anonymous","Italy","Couple","8.8","Fabulous","19 February 2014","stanza molto pulita, posizione comoda a 5min a piedi dalla metropolitana","dimensioni del letto matrimoniale: 1 piazza e mezza","",
"Anonymous","Estonia","Solo traveller","6.3","Pleasant","19 February 2014","Asukoht","Booking.com-i pakkumise pildid olid teised, kui tuba tegelikult.","",
"Anonymous","Netherlands","Couple","8.3","Very good","10 February 2014","Prima kamer voor de prijs
Wifi","Kamer was nogal warm/benauwd
Enkel lifttoegang, voor de eerste verdieping waren wij niet te beroerd om te lopen.","",
"Anonymous","Germany","Solo traveller","7.9","Good","6 January 2014","Gutes Preis-Leistungsverhältnis, freundliches Personal","Randalierendes Paar im Nachbarzimmer, worauf zunächst nur verzögert reagiert werden konnte, da nur eine einzige Person an der Rezeption.","",
"Anonymous","Italy","Solo traveller","8.8","Fabulous","17 December 2013","ottima camera silenziosa e spaziosa con colazione eccellente in una strada tranquilla","posizione un po' decentrata per la visita alla città, anche se gli autobus sono frequenti","",
"Anonymous","Germany","Couple","8.3","Very good","11 December 2013","Sauberkeit, Ruhe","sehr kleines Zimmer","",
"Anonymous","Germany","Solo traveller","7.9","Good","9 December 2013","Gutes Frühstück...","... preislich aber überhöht.","",
"Anonymous","Netherlands","Couple","8.3","Very good","6 December 2013","kamer goed. goed gevulde koelkast die iedere dag bijgehouden werd.
uitstekend ontbijt. ligging erg centraal.
als we nog eens in berlijn komen gaan we zeker terug. maar dan wel met een groter bed","er was maar 1 ding wat ons tegen
viel en dat was de maat van het bed. wij hadden ook 2 bedden besteld op de site. wij zijn beide groot en dan is een twijfelaar wat aan de kleine kant","",
"Anonymous","Italy","Group of friends","5.4","Passable","26 November 2013","Era l'unica stanza fumatori che siamo riuscite a trovare. .","La camera è sprovvista di una luce decente...oltre la lampada che fa
solo una luce soffusa...il letto che dovrebbe essere matrimoniale in
realtà è a una piazza e mezzo...il personale non è molto accogliente.
.Una notte ci siamo trovati chiusi fuori dall'hotel perché il tizio
si era spostato...dopo qualche minuto è arrivato ma attendere al freddo
non è mai bello...prima di andare ho pagato e non mi hanno fornito la
fattura dopo averci riflettuto sono andata a chiedergliela e una prima
volta me l'ha stampata con un importo di 0 euro...mi accorgo dell
errore e glielo faccio notare..la seconda volta la stampa giusta anche
se abbastanza scocciata...!","",
"Anonymous","France","Solo traveller","8.3","Very good","26 November 2013","Très bon rapport qualité/prix. Excellent Wi-Fi offert. Situation géographique un peu à l'écart de l'agitation berlinoise, tout en étant globalement central. Zone particulièrement calme.","Un peu éloigné des transports en commun. Mais bus à 5 minutes et métro à 10 minutes (à pied).","",
"Anonymous","Canada","Family","6.7","Pleasant","25 November 2013","","Bonjour à vous
Moi qui suis une fidèle cliente de booking.com, habituellement satisfaite, je dois vous dire que lors de mon séjour à Berlin récemment, j'ai été plutôt déçue. J'avais choisi un hôtel sur votre site (Lutzow) parce qu'il était spécifiquement situé dans le quartier Mitte de Berlin. Alors que plusieurs hôtels ne mentionnaient  même pas le quartier, celui-ci précisait Mitte...un argument de vente parce que c'est le quartier touristique où moi aussi je voulais être logé. Quel fut ma surprise de constater qu'on était à l'autre bout de la ville! ...dans le quartier tiergarden. Les gens de l'hôtel m'ont confirmée qu'il y avait bien une erreur et qu'ils allaient corriger la situation. Vous comprenez que n'ayant qu'une journée et demi, nous n'avons pas changé d'hôtel mais que la situation nous a entrainé des frais supplémentaires et des inconvénients. Âpres avoir mentionné cette erreur chez bookin.com, les gens de l'hôtel ont changé de discours en prétextant faire partie du quartier Mitte-tiergaten. Bref je suis déçue que booking.com manque d'objectivité face à l'entreprise et ne compense pas d'aucune façon, si minime que se soit, sa cliente. Parce qu'on fond, on se fit que booking.com s'assure que les infos qu'elle met sur son site sont exactes et précises.
Tout ça est une question de crédibilité.
Merci de votre attention.
Marie-Josée Taillefer","",
"Anonymous","Germany","Couple","8.8","Fabulous","15 November 2013","Die Super Lage und der Preis.","Das Bett war Gewöhnungsbedürftig.","",
"Anonymous","Switzerland","Solo traveller","6.3","Pleasant","15 November 2013","Das Badezimmer war sauber, zwar kleine aber gut eingerichtet (samt gut funktionierender Brause)","Der Teppich im Zimmer war sehr unappetitlich von uralten Flecken verziert.","",
"Anonymous","Germany","Couple","7.9","Good","9 November 2013","Es gab sogar eine kleine Küchen mit Wasserkocher","Die Betten waren für 2 Personen 
mit 1,40 gesamt breite sehr anstrengend, so das es an Schlaf etwas fehlte.","",
"Anonymous","Germany","Solo traveller","7.9","Good","7 November 2013","","Ein Fön im Bad wäre super","",
"Anonymous","Germany","Couple","8.3","Very good","4 November 2013"," Sehr freundliches und hilfsbereites Personal
- in der Nähe des Wittenbergplatzes gut gelegen"," Doppelbett ist (für 2 Personen) ziemlich schmal
- Nicht sehr ordentlich geputztes Bad
- Geschirr (Besteck, Töpfe, etc) für die Kochnische kostet täglich 5€; finde ich zu teuer","",
"Anonymous","Germany","Solo traveller","7.1","Good","29 October 2013"," Reichhaltiges Frühstücksbuffet 
- Sauberkeit"," Zimmer in der ersten Etage zur Straßenseite zu laut. Teilweise über der Tiefgarage, die ab halb sechs morgens Hochbetrieb hat","",
"Anonymous","Greece","Solo traveller","8.3","Very good","26 October 2013","Το προσωπικό είναι ευγενέστατο και εξυπηρετικότατο. Καλό πρωινό. Ήσυχο και καθαρό ξενοδοχείο.","Τα δωμάτια διαθέτουν κουζινάκι αλλά δυστυχώς είναι άχρηστο διότι δεν υπάρχουν ούτε κουζινικά σκεύη (πιάτα, ποτήρια κλπ) ούτε μαχαιροπήρουνα. Δεν καταλαβαίνω τι εξυπηρετεί το κουζινάκι χωρίς αυτά.
Υπάρχει μόνο ένα ασανσέρ και στις ώρες αιχμής είναι έως και πολύ χρονοβόρο να κατέβει κάποιος στο ισόγειο.","",
"Anonymous","Russia","Family","8.3","Very good","19 October 2013","Внимательный персонал","В номере отсутствовал фен","",
"Anonymous","Netherlands","Solo traveller","7.9","Good","18 October 2013","Schappelijke prijs voor een goede basic hotelfaciliteit","","",
